"";"x0.1";"x0.2";"x..1";"x..2";"function.value";"accuracy";"reached.accuracy";"calls.number";"derivative.step";"derivative.method";"onedim.method";"onedim.accuracy";"alpha.in.Sven";"criteria.of.stop";"restarts.presence"
"17";20;20;NA;NA;NA;0,1;NA;7487;0,1;"O(h^2)";"DSK-P";1e-04;1;"grad";TRUE
"18";20;20;1,00508741796696;1,01032088942869;2,73259446744137e-05;0,1;0,0115066320080987;18457;0,1;"O(h^2)";"DSK-P";1e-04;0,1;"grad";TRUE
"19";20;20;0,998241389110109;0,996548874788313;3,48966084702719e-06;0,1;0,00387336771928284;20179;0,1;"O(h^2)";"DSK-P";1e-04;0,01;"grad";TRUE
"20";20;20;NA;NA;NA;0,1;NA;642991;0,1;"O(h^2)";"DSK-P";1e-04;0,001;"grad";TRUE
"21";20;20;NA;NA;NA;0,1;NA;11962;0,1;"O(h^2)";"DSK-P";1e-06;1;"grad";TRUE
"22";20;20;NA;NA;NA;0,1;NA;5382;0,1;"O(h^2)";"DSK-P";1e-06;0,1;"grad";TRUE
"23";20;20;NA;NA;NA;0,1;NA;7437;0,1;"O(h^2)";"DSK-P";1e-06;0,01;"grad";TRUE
"24";20;20;0,99588979874124;0,991727950624036;1,73635359482436e-05;0,1;0,00923691264795277;19828;0,1;"O(h^2)";"DSK-P";1e-06;0,001;"grad";TRUE
"25";20;20;3049499,20285966;-76216,0271211477;8,64796859464236e+27;0,1;3050450,51172241;122;0,1;"O(h^4)";"GR";0,01;1;"grad";TRUE
"26";20;20;314494,254418636;-7841,75808848929;9,78252420837179e+23;0,1;314591,029638894;135;0,1;"O(h^4)";"GR";0,01;0,1;"grad";TRUE
"27";20;20;-940473553,467574;-188606036,281091;7,82323453365335e+37;0,1;959199011,650736;211;0,1;"O(h^4)";"GR";0,01;0,01;"grad";TRUE
"28";20;20;6100,07600000014;-131,999999999994;138466292758787984;0,1;6100,52596533919;162;0,1;"O(h^4)";"GR";0,01;0,001;"grad";TRUE
"29";20;20;3040182,2048536;-75983,1050825215;8,54276495963024e+27;0,1;3041130,60268221;131;0,1;"O(h^4)";"GR";1e-04;1;"grad";TRUE
"30";20;20;1,00114400052109;1,00224721585843;1,48592701030914e-06;0,1;0,00252164952097795;27704;0,1;"O(h^4)";"GR";1e-04;0,1;"grad";TRUE
"31";20;20;30514,7920285966;-742,360271211477;86704642138264682496;0,1;30522,8453532311;162;0,1;"O(h^4)";"GR";1e-04;0,01;"grad";TRUE
"32";20;20;1,00099838276063;1,00202246107723;1,05777114877046e-06;0,1;0,00225546379834426;31940;0,1;"O(h^4)";"GR";1e-04;0,001;"grad";TRUE
"33";20;20;3040059,00986238;-75980,0252462391;8,54138035593129e+27;0,1;3041007,36919954;139;0,1;"O(h^4)";"GR";1e-06;1;"grad";TRUE
"34";20;20;1,00037401660746;1,00078342074857;2,64128072121307e-07;0,1;0,000868122394566946;32130;0,1;"O(h^4)";"GR";1e-06;0,1;"grad";TRUE
"35";20;20;-452057187,841538;-4990054,22857143;4,17612525656108e+36;0,1;452084729,486076;363;0,1;"O(h^4)";"GR";1e-06;0,01;"grad";TRUE
"36";20;20;1,00074804636891;1,00147099420377;6,25407217637782e-07;0,1;0,00165027189201546;37122;0,1;"O(h^4)";"GR";1e-06;0,001;"grad";TRUE
"37";20;20;646629,352887138;-16145,0317592804;1,74832309009607e+25;0,1;646829,901209819;141;0,1;"O(h^4)";"DSK-P";0,01;1;"grad";TRUE
"38";20;20;145062,814763273;-3606,02504376856;4,42817269288846e+22;0,1;145106,652955957;138;0,1;"O(h^4)";"DSK-P";0,01;0,1;"grad";TRUE
"39";20;20;0,999465681679164;0,998909739400206;3,33498486272801e-07;0,1;0,00121415165586701;14155;0,1;"O(h^4)";"DSK-P";0,01;0,01;"grad";TRUE
"40";20;20;1,00025157855226;1,00047774326405;1,28200194697876e-07;0,1;0,000539935546433086;13288;0,1;"O(h^4)";"DSK-P";0,01;0,001;"grad";TRUE
"41";20;20;131605,648503697;-3269,60009259107;2,99984131575867e+22;0,1;131645,282227459;373;0,1;"O(h^4)";"DSK-P";1e-04;1;"grad";TRUE
"42";20;20;28979,338234491;-703,974406182152;70526865636873691136;0,1;28986,9121457588;221;0,1;"O(h^4)";"DSK-P";1e-04;0,1;"grad";TRUE
"43";20;20;0,999967082590914;0,999932509850635;1,3579268033213e-09;0,1;7,50897868040868e-05;639;0,1;"O(h^4)";"DSK-P";1e-04;0,01;"grad";TRUE
"44";20;20;0,999222688336641;0,998473975233828;6,82581769091886e-07;0,1;0,00171259014622999;17936;0,1;"O(h^4)";"DSK-P";1e-04;0,001;"grad";TRUE
"45";20;20;28206,6335456811;-674,224117013275;6,3300298987382e+19;0,1;28213,7145962996;9594;0,1;"O(h^4)";"DSK-P";1e-06;1;"grad";TRUE
"46";20;20;6025,02069756728;-130,123640893661;131776293023218112;0,1;6025,4475994668;1195;0,1;"O(h^4)";"DSK-P";1e-06;0,1;"grad";TRUE
"47";20;20;1,00044044760144;1,0008190325858;5,79096388612438e-07;0,1;0,000929950786991916;19053;0,1;"O(h^4)";"DSK-P";1e-06;0,01;"grad";TRUE
"48";20;20;0,999563868152264;0,999067643291173;5,53617702327734e-07;0,1;0,00102932017424307;15431;0,1;"O(h^4)";"DSK-P";1e-06;0,001;"grad";TRUE
"49";20;20;3049499,20485945;-76216,0271192823;8,64796861732694e+27;0,1;3050450,51372153;84;0,001;"O(h^2)";"GR";0,01;1;"grad";TRUE
"50";20;20;NA;NA;NA;0,1;NA;278;0,001;"O(h^2)";"GR";0,01;0,1;"grad";TRUE
"51";20;20;0,999480914287257;0,998915825950093;4,83560464082595e-07;0,1;0,00120203300606367;61821;0,001;"O(h^2)";"GR";0,01;0,01;"grad";TRUE
"52";20;20;0,999085959697895;0,998157836445422;8,57725599528383e-07;0,1;0,00205646206765089;22965;0,001;"O(h^2)";"GR";0,01;0,001;"grad";TRUE
"53";20;20;1,00004223779502;1,00008568984794;1,9310406141689e-09;0,1;9,55341895229306e-05;30208;0,001;"O(h^2)";"GR";1e-04;1;"grad";TRUE
"54";20;20;59562620,8014221;3547705796734059;3547705677922363;0,1;3547705796734059;381;0,001;"O(h^2)";"GR";1e-04;0,1;"grad";TRUE
"55";20;20;1,00006939549064;1,00028006700861;2,00057125657058e-06;0,1;0,000288536416133129;81913;0,001;"O(h^2)";"GR";1e-04;0,01;"grad";TRUE
"56";20;20;0,999201497645419;0,998480541325275;1,22909664659351e-06;0,1;0,00171649662815542;27670;0,001;"O(h^2)";"GR";1e-04;0,001;"grad";TRUE
"57";20;20;0,99675647402359;0,993413346289675;1,17331510551878e-05;0,1;0,00734196621208445;32463;0,001;"O(h^2)";"GR";1e-06;1;"grad";TRUE
"58";20;20;0,999128609009269;0,998313302254038;1,06540686125264e-06;0,1;0,00189849191332517;30716;0,001;"O(h^2)";"GR";1e-06;0,1;"grad";TRUE
"59";20;20;1,00015255786251;1,00023923210862;4,57645720497228e-07;0,1;0,000283735622027698;124169;0,001;"O(h^2)";"GR";1e-06;0,01;"grad";TRUE
"60";20;20;1,00067986544541;1,00130872864904;7,27076075800021e-07;0,1;0,00147478395051332;34893;0,001;"O(h^2)";"GR";1e-06;0,001;"grad";TRUE
"61";20;20;646629,353311183;-16145,0317588852;1,74832309468212e+25;0,1;646829,901633722;103;0,001;"O(h^2)";"DSK-P";0,01;1;"grad";TRUE
"62";20;20;NA;NA;NA;0,1;NA;10419;0,001;"O(h^2)";"DSK-P";0,01;0,1;"grad";TRUE
"63";20;20;0,99259490707095;0,985119151632;5,64103738591061e-05;0,1;0,0166215236798335;97330;0,001;"O(h^2)";"DSK-P";0,01;0,01;"grad";TRUE
"64";20;20;0,997756543341299;0,995528362256201;5,04358861056674e-06;0,1;0,00500286336923506;11647;0,001;"O(h^2)";"DSK-P";0,01;0,001;"grad";TRUE
"65";20;20;0,969745981803599;0,940164719798568;0,000921188639416887;0,1;0,0670489848827862;11929;0,001;"O(h^2)";"DSK-P";1e-04;1;"grad";TRUE
"66";20;20;1,00310000883476;1,00624462844258;9,73255980360419e-06;0,1;0,00697176011933244;17035;0,001;"O(h^2)";"DSK-P";1e-04;0,1;"grad";TRUE
"67";20;20;1,00031082464682;1,00055978361754;4,80544475398943e-07;0,1;0,000640288731383571;14647;0,001;"O(h^2)";"DSK-P";1e-04;0,01;"grad";TRUE
"68";20;20;0,990259995952147;0,980520425797542;9,57594528385505e-05;0,1;0,0217789230670683;16917;0,001;"O(h^2)";"DSK-P";1e-04;0,001;"grad";TRUE
"69";20;20;NA;NA;NA;0,1;NA;4794;0,001;"O(h^2)";"DSK-P";1e-06;1;"grad";TRUE
"70";20;20;NA;NA;NA;0,1;NA;22268;0,001;"O(h^2)";"DSK-P";1e-06;0,1;"grad";TRUE
"71";20;20;NA;NA;NA;0,1;NA;7136;0,001;"O(h^2)";"DSK-P";1e-06;0,01;"grad";TRUE
"72";20;20;NA;NA;NA;0,1;NA;7043;0,001;"O(h^2)";"DSK-P";1e-06;0,001;"grad";TRUE
"73";20;20;0,985458029013414;0,971096603984397;0,000211564543136344;0,1;0,0323554511853798;36097;0,001;"O(h^4)";"GR";0,01;1;"grad";TRUE
"74";20;20;314494,254417571;-7841,75808832904;9,78252420823931e+23;0,1;314591,029637825;111;0,001;"O(h^4)";"GR";0,01;0,1;"grad";TRUE
"75";20;20;42032,2918889462;-1030,29416852863;3,12128044865551e+20;0,1;42043,9420786852;124;0,001;"O(h^4)";"GR";0,01;0,01;"grad";TRUE
"76";20;20;6100,07599997955;-131,999999996896;138466292756918704;0,1;6100,52596531854;142;0,001;"O(h^4)";"GR";0,01;0,001;"grad";TRUE
"77";20;20;3040182,2048433;-75983,1050809724;8,54276495951454e+27;0,1;3041130,60267188;105;0,001;"O(h^4)";"GR";1e-04;1;"grad";TRUE
"78";20;20;0,9772195291813;0,954874547325913;0,000519646422694342;0,1;0,050549543319034;25221;0,001;"O(h^4)";"GR";1e-04;0,1;"grad";TRUE
"79";20;20;6538,03684814061;55121622,287217;15315786328680626;0,1;55121621,6748403;871;0,001;"O(h^4)";"GR";1e-04;0,01;"grad";TRUE
"80";20;20;2229,15205788053;-56,2251594246839;2469270144585543;0,1;2228,8867875934;310;0,001;"O(h^4)";"GR";1e-04;0,001;"grad";TRUE
"81";20;20;3040059,00985209;-75980,02524469;8,54138035581561e+27;0,1;3041007,36918921;115;0,001;"O(h^4)";"GR";1e-06;1;"grad";TRUE
"82";20;20;304024,919953443;-7580,02799835644;8,54351925256508e+23;0,1;304118,424120226;130;0,001;"O(h^4)";"GR";1e-06;0,1;"grad";TRUE
"83";20;20;30421,622048433;-740,031050809724;85650550838582476800;0,1;30429,646281741;147;0,001;"O(h^4)";"GR";1e-06;0,01;"grad";TRUE
"84";20;20;0,991437333159621;0,98277611802662;7,6273109101295e-05;0,1;0,0192348998867232;35306;0,001;"O(h^4)";"GR";1e-06;0,001;"grad";TRUE
"85";20;20;646629,352884948;-16145,0317589509;1,74832309007239e+25;0,1;646829,901207622;115;0,001;"O(h^4)";"DSK-P";0,01;1;"grad";TRUE
"86";20;20;1,00088415604719;1,00176923019222;7,81733775342125e-07;0,1;0,00197785423851841;14688;0,001;"O(h^4)";"DSK-P";0,01;0,1;"grad";TRUE
"87";20;20;-3211,98280779517;9981004,64968898;11278115860232,6;0,1;9981004,16683428;320;0,001;"O(h^4)";"DSK-P";0,01;0,01;"grad";TRUE
"88";20;20;0,999887398293012;0,999769509143633;1,5488273246258e-08;0,1;0,000256525202046959;13231;0,001;"O(h^4)";"DSK-P";0,01;0,001;"grad";TRUE
"89";20;20;-642,097143591238;4393,3964394104;16637861690912,2;0,1;4439,22520458699;8620;0,001;"O(h^4)";"DSK-P";1e-04;1;"grad";TRUE
"90";20;20;0,99955885352629;0,999055757749516;5,80796806991464e-07;0,1;0,00104221093779758;14066;0,001;"O(h^4)";"DSK-P";1e-04;0,1;"grad";TRUE
"91";20;20;0,990963521720017;0,981878225123601;8,33603450461718e-05;0,1;0,0202498559099929;19003;0,001;"O(h^4)";"DSK-P";1e-04;0,01;"grad";TRUE
"92";20;20;1458,73889504075;-15,9680227751205;452810794694130;0,1;1457,83764525119;160;0,001;"O(h^4)";"DSK-P";1e-04;0,001;"grad";TRUE
"93";20;20;27785,1653843938;-674,120458092276;5,9600884254503e+19;0,1;27792,3664652775;4782;0,001;"O(h^4)";"DSK-P";1e-06;1;"grad";TRUE
"94";20;20;6025,02069754689;-130,1236408906;131776293021433952;0,1;6025,44759944634;1173;0,001;"O(h^4)";"DSK-P";1e-06;0,1;"grad";TRUE
"95";20;20;1,00078680076882;1,0016044906832;7,1068328532825e-07;0,1;0,00178702148904517;18969;0,001;"O(h^4)";"DSK-P";1e-06;0,01;"grad";TRUE
"96";20;20;0,999902050655105;0,999792865741322;2,22394431684366e-08;0,1;0,000229125893961217;14726;0,001;"O(h^4)";"DSK-P";1e-06;0,001;"grad";TRUE
"97";20;20;3049499,20365432;-76216,0269118866;8,64796860365651e+27;0,1;3050450,51251158;68;1e-05;"O(h^2)";"GR";0,01;1;"grad";TRUE
"98";20;20;1,00249413235306;1,00503104430721;6,35435154736693e-06;0,1;0,00561534531580248;10091;1e-05;"O(h^2)";"GR";0,01;0,1;"grad";TRUE
"99";20;20;1,0012467315208;1,00253985584068;1,75538823092327e-06;0,1;0,00282934748244381;65707;1e-05;"O(h^2)";"GR";0,01;0,01;"grad";TRUE
"100";20;20;1,00151656437389;1,00303969191988;2,30178499150063e-06;0,1;0,0033970125798897;21348;1e-05;"O(h^2)";"GR";0,01;0,001;"grad";TRUE
"101";20;20;0,976594945577678;0,953684899762735;0,000548075229438129;0,1;0,0518930157391119;31361;1e-05;"O(h^2)";"GR";1e-04;1;"grad";TRUE
"102";20;20;1,00010374935026;1,00012628603029;6,70488553126626e-07;0,1;0,000163438334321367;24791;1e-05;"O(h^2)";"GR";1e-04;0,1;"grad";TRUE
"103";20;20;-5502,94757904767;30322136,0034938;157670624228,823;0,1;30322135,5030206;30278;1e-05;"O(h^2)";"GR";1e-04;0,01;"grad";TRUE
"104";20;20;1,00021225926342;1,00041922357131;4,79055650924308e-08;0,1;0,000469896156240478;29943;1e-05;"O(h^2)";"GR";1e-04;0,001;"grad";TRUE
"105";20;20;3040059,01065458;-75980,0250376259;8,54138036483434e+27;0,1;3041007,36998627;87;1e-05;"O(h^2)";"GR";1e-06;1;"grad";TRUE
"106";20;20;1,00001613437179;1,00003589552531;1,57548371022212e-09;0,1;3,93548814080153e-05;29601;1e-05;"O(h^2)";"GR";1e-06;0,1;"grad";TRUE
"107";20;20;0,999833574748803;0,999617966156518;2,6986999478971e-07;0,1;0,00041670999724264;324666;1e-05;"O(h^2)";"GR";1e-06;0,01;"grad";TRUE
"108";20;20;1,0009113428438;1,00181980486092;8,3192320749177e-07;0,1;0,00203524826760482;789;1e-05;"O(h^2)";"GR";1e-06;0,001;"grad";TRUE
"109";20;20;646629,35305564;-16145,031714909;1,74832309191842e+25;0,1;646829,901377162;77;1e-05;"O(h^2)";"DSK-P";0,01;1;"grad";TRUE
"110";20;20;1,00010533018886;1,00021250742084;1,14315194348374e-08;0,1;0,000237178946362033;12117;1e-05;"O(h^2)";"DSK-P";0,01;0,1;"grad";TRUE
"111";20;20;36495,0123202294;-891,863906966202;1,77392249096121e+20;0,1;36504,9331075325;88;1e-05;"O(h^2)";"DSK-P";0,01;0,01;"grad";TRUE
"112";20;20;0,999750354293614;0,999520121938177;9,97692070698136e-08;0,1;0,000540930617488532;11571;1e-05;"O(h^2)";"DSK-P";0,01;0,001;"grad";TRUE
"113";20;20;NA;NA;NA;0,1;NA;11123;1e-05;"O(h^2)";"DSK-P";1e-04;1;"grad";TRUE
"114";20;20;28979,3382420422;-703,974404195027;70526865710382465024;0,1;28986,9121532594;145;1e-05;"O(h^2)";"DSK-P";1e-04;0,1;"grad";TRUE
"115";20;20;0,960521843822841;0,922549447073817;0,00155880323375482;0,1;0,0869316568559438;13498;1e-05;"O(h^2)";"DSK-P";1e-04;0,01;"grad";TRUE
"116";20;20;1458,73889542368;-15,9680226772031;452810795169545;0,1;1457,83764563295;116;1e-05;"O(h^2)";"DSK-P";1e-04;0,001;"grad";TRUE
"117";20;20;28206,6387464085;-674,224318413958;63300345672519229440;0,1;28213,7198003574;9490;1e-05;"O(h^2)";"DSK-P";1e-06;1;"grad";TRUE
"118";20;20;NA;NA;NA;0,1;NA;4875;1e-05;"O(h^2)";"DSK-P";1e-06;0,1;"grad";TRUE
"119";20;20;NA;NA;NA;0,1;NA;4676;1e-05;"O(h^2)";"DSK-P";1e-06;0,01;"grad";TRUE
"120";20;20;NA;NA;NA;0,1;NA;6271;1e-05;"O(h^2)";"DSK-P";1e-06;0,001;"grad";TRUE
"121";20;20;3049499,20396572;-76216,0268807461;8,64796860718892e+27;0,1;3050450,51282211;78;1e-05;"O(h^4)";"GR";0,01;1;"grad";TRUE
"122";20;20;314494,254532697;-7841,75806369814;9,78252422256356e+23;0,1;314591,029752302;91;1e-05;"O(h^4)";"GR";0,01;0,1;"grad";TRUE
"123";20;20;42032,2919043265;-1030,29416523806;3,12128045322401e+20;0,1;42043,9420939801;102;1e-05;"O(h^4)";"GR";0,01;0,01;"grad";TRUE
"124";20;20;6100,07600220541;-131,999999520679;138466292959014608;0,1;6100,52596753349;112;1e-05;"O(h^4)";"GR";0,01;0,001;"grad";TRUE
"125";20;20;-272,566938583739;108880,321111393;119630179161,008;0,1;108879,664788921;211;1e-05;"O(h^4)";"GR";1e-04;1;"grad";TRUE
"126";20;20;1,0003050738427;1,00054859570741;4,73081244396962e-07;0,1;0,000627715938694456;26573;1e-05;"O(h^4)";"GR";1e-04;0,1;"grad";TRUE
"127";20;20;30514,7920396572;-742,360268807461;86704642263974477824;0,1;30522,8453642299;112;1e-05;"O(h^4)";"GR";1e-04;0,01;"grad";TRUE
"128";20;20;3164,74254532697;-58,6175806369814;10031332506334218;0,1;3164,30421246646;125;1e-05;"O(h^4)";"GR";1e-04;0,001;"grad";TRUE
"129";20;20;3040059,01096502;-75980,0250065818;8,54138036832321e+27;0,1;3041007,37029584;97;1e-05;"O(h^4)";"GR";1e-06;1;"grad";TRUE
"130";20;20;304024,920064737;-7580,02797454554;8,54351926507507e+23;0,1;304118,424230891;106;1e-05;"O(h^4)";"GR";1e-06;0,1;"grad";TRUE
"131";20;20;-8262,69086681896;68198500,9590868;541166843883,873;0,1;68198500,4597472;5024;1e-05;"O(h^4)";"GR";1e-06;0,01;"grad";TRUE
"132";20;20;3061,41545403666;-56,0344356531187;8784039383494645;0,1;3060,94685974074;146;1e-05;"O(h^4)";"GR";1e-06;0,001;"grad";TRUE
"133";20;20;-5819,10800907237;76623,0568662831;114145291323815520;0,1;76842,782716773;171;1e-05;"O(h^4)";"DSK-P";0,01;1;"grad";TRUE
"134";20;20;145062,814815885;-3606,02503233441;4,42817269931257e+22;0,1;145106,653008269;86;1e-05;"O(h^4)";"DSK-P";0,01;0,1;"grad";TRUE
"135";20;20;36495,0123239547;-891,863906593742;1,77392249168551e+20;0,1;36504,9331112475;94;1e-05;"O(h^4)";"DSK-P";0,01;0,01;"grad";TRUE
"136";20;20;-221,741299527693;81069,8128947787;101764934933,913;0,1;81069,1188915678;227;1e-05;"O(h^4)";"DSK-P";0,01;0,001;"grad";TRUE
"137";20;20;131605,648551431;-3269,60008221787;2,99984132011087e+22;0,1;131645,282274921;317;1e-05;"O(h^4)";"DSK-P";1e-04;1;"grad";TRUE
"138";20;20;28979,3382450013;-703,974403899347;70526865739188600832;0,1;28986,9121562104;159;1e-05;"O(h^4)";"DSK-P";1e-04;0,1;"grad";TRUE
"139";20;20;6470,32244266861;-141,256044799147;175269612427106912;0,1;6470,8863109699;127;1e-05;"O(h^4)";"DSK-P";1e-04;0,01;"grad";TRUE
"140";20;20;1458,73889557181;-15,9680226625413;452810795353465;0,1;1457,8376457809;128;1e-05;"O(h^4)";"DSK-P";1e-04;0,001;"grad";TRUE
"141";20;20;27785,1653945656;-674,120455917776;59600884341778857984;0,1;27792,3664753934;4760;1e-05;"O(h^4)";"DSK-P";1e-06;1;"grad";TRUE
"142";20;20;6025,02069975249;-130,123640420443;131776293214389488;0,1;6025,44760164119;1143;1e-05;"O(h^4)";"DSK-P";1e-06;0,1;"grad";TRUE
"143";20;20;1316,90382101791;-12,4221901340682;300761647580155;0,1;1315,97227226014;369;1e-05;"O(h^4)";"DSK-P";1e-06;0,01;"grad";TRUE
"144";20;20;291,66867497284;13,2083680449592;723476343121,685;0,1;290,924943689584;193;1e-05;"O(h^4)";"DSK-P";1e-06;0,001;"grad";TRUE
"145";20;20;3049499,20316763;-76216,0271211508;8,64796859813578e+27;0,001;3050450,51203028;126;0,1;"O(h^2)";"GR";0,01;1;"grad";TRUE
"146";20;20;0,999953866328142;0,999908369311828;2,16857815945066e-09;0,001;0,00010258897939834;50776;0,1;"O(h^2)";"GR";0,01;0,1;"grad";TRUE
"147";20;20;NA;NA;NA;0,001;NA;874543;0,1;"O(h^2)";"GR";0,01;0,01;"grad";TRUE
"148";20;20;NA;NA;NA;0,001;NA;785945;0,1;"O(h^2)";"GR";0,01;0,001;"grad";TRUE
"149";20;20;0,999879830559641;0,999759941314531;1,4447756944479e-08;0,001;0,000268456452455964;43477;0,1;"O(h^2)";"GR";1e-04;1;"grad";TRUE
"150";20;20;NA;NA;NA;0,001;NA;1258097;0,1;"O(h^2)";"GR";1e-04;0,1;"grad";TRUE
"151";20;20;-13222677,1281344;1418941747,38706;3,05682463406883e+30;0,001;1419003354,06821;224931;0,1;"O(h^2)";"GR";1e-04;0,01;"grad";TRUE
"152";20;20;0,999886190542233;0,999771328942127;1,30660353986507e-08;0,001;0,000255427182159444;39810;0,1;"O(h^2)";"GR";1e-04;0,001;"grad";TRUE
"153";20;20;0,999876544979699;0,99975295990681;1,52432530643832e-08;0,001;0,000276170146252314;52763;0,1;"O(h^2)";"GR";1e-06;1;"grad";TRUE
"154";20;20;0,999892786496879;0,999786206770428;1,15334587322999e-08;0,001;0,000239169981942356;39703;0,1;"O(h^2)";"GR";1e-06;0,1;"grad";TRUE
"155";20;20;NA;NA;NA;0,001;NA;1437236;0,1;"O(h^2)";"GR";1e-06;0,01;"grad";TRUE
"156";20;20;0,999998615904736;0,999998465335752;1,54073955327036e-10;0,001;2,06661899121857e-06;43929;0,1;"O(h^2)";"GR";1e-06;0,001;"grad";TRUE
"157";20;20;NA;NA;NA;0,001;NA;15556;0,1;"O(h^2)";"DSK-P";0,01;1;"grad";TRUE
"158";20;20;1,00000021823943;0,999999863452354;3,28835704460362e-11;0,001;2,57436800652585e-07;21689;0,1;"O(h^2)";"DSK-P";0,01;0,1;"grad";TRUE
"159";20;20;NA;NA;NA;0,001;NA;902749;0,1;"O(h^2)";"DSK-P";0,01;0,01;"grad";TRUE
"160";20;20;0,999874815371691;0,999750707137627;1,5783704504308e-08;0,001;0,000278958997694652;18962;0,1;"O(h^2)";"DSK-P";0,01;0,001;"grad";TRUE
"161";20;20;131605,648516988;-3269,60009259125;2,99984131697049e+22;0,001;131645,282240746;377;0,1;"O(h^2)";"DSK-P";1e-04;1;"grad";TRUE
"162";20;20;1,0000124907851;1,00002470398325;1,63733828631782e-10;0,001;2,76822416187314e-05;19705;0,1;"O(h^2)";"DSK-P";1e-04;0,1;"grad";TRUE
"163";20;20;0,999973943292686;0,999948935441548;7,8881954547787e-10;0,001;5,73283623172782e-05;22446;0,1;"O(h^2)";"DSK-P";1e-04;0,01;"grad";TRUE
"164";20;20;0,999933787268542;0,999869128043923;4,62410392475486e-09;0,001;0,000146668315237384;24670;0,1;"O(h^2)";"DSK-P";1e-04;0,001;"grad";TRUE
"165";20;20;NA;NA;NA;0,001;NA;4850;0,1;"O(h^2)";"DSK-P";1e-06;1;"grad";TRUE
"166";20;20;NA;NA;NA;0,001;NA;5139;0,1;"O(h^2)";"DSK-P";1e-06;0,1;"grad";TRUE
"167";20;20;0,999964848122099;0,999929065265327;1,27562404049319e-09;0,001;7,91668560894781e-05;25818;0,1;"O(h^2)";"DSK-P";1e-06;0,01;"grad";TRUE
"168";20;20;0,999845613487654;0,999690048190456;2,39798246920907e-08;0,001;0,000346273474920712;17923;0,1;"O(h^2)";"DSK-P";1e-06;0,001;"grad";TRUE
"169";20;20;3049499,20285966;-76216,0271211477;8,64796859464236e+27;0,001;3050450,51172241;122;0,1;"O(h^4)";"GR";0,01;1;"grad";TRUE
"170";20;20;314494,254418636;-7841,75808848929;9,78252420837179e+23;0,001;314591,029638894;135;0,1;"O(h^4)";"GR";0,01;0,1;"grad";TRUE
"171";20;20;-560,804841064732;-1015,41263710713;9955128485548,98;0,001;1161,34375975197;297;0,1;"O(h^4)";"GR";0,01;0,01;"grad";TRUE
"172";20;20;6100,07600000014;-131,999999999994;138466292758787984;0,001;6100,52596533919;162;0,1;"O(h^4)";"GR";0,01;0,001;"grad";TRUE
"173";20;20;3040182,2048536;-75983,1050825215;8,54276495963024e+27;0,001;3041130,60268221;131;0,1;"O(h^4)";"GR";1e-04;1;"grad";TRUE
